time,feed_pressure
2024 10 07 16:40:00,9.050625
2024 10 07 16:41:00,9.080625
2024 10 07 16:42:00,9.12875
2024 10 07 16:43:00,9.16875
2024 10 07 16:44:00,9.2085
2024 10 07 16:45:00,9.283125
2024 10 07 16:46:00,9.371625
2024 10 07 16:47:00,9.43725
2024 10 07 16:48:00,9.490125
2024 10 07 16:49:00,9.52725
2024 10 07 16:50:00,9.252
2024 10 07 16:51:00,9.006375
2024 10 07 16:52:00,8.791875
2024 10 07 16:53:00,8.593125
2024 10 07 16:54:00,8.412375
2024 10 07 16:55:00,8.55225
2024 10 07 16:56:00,8.653125
2024 10 07 16:57:00,8.72925
2024 10 07 16:58:00,8.809875
2024 10 07 16:59:00,8.890875
2024 10 07 17:00:00,8.965875
2024 10 07 17:01:00,9.035625
2024 10 07 17:02:00,9.118125
2024 10 07 17:03:00,9.19425
2024 10 07 17:04:00,9.26025
2024 10 07 17:05:00,9.341625
2024 10 07 17:06:00,9.4245
2024 10 07 17:07:00,9.48825
2024 10 07 17:08:00,9.538125
2024 10 07 17:09:00,9.57975
2024 10 07 17:10:00,9.318
2024 10 07 17:11:00,9.08025
2024 10 07 17:12:00,8.846625
2024 10 07 17:13:00,8.64225
2024 10 07 17:14:00,8.455125
2024 10 07 17:15:00,8.55525
2024 10 07 17:16:00,8.619375
2024 10 07 17:17:00,8.701875
2024 10 07 17:18:00,8.78775
2024 10 07 17:19:00,8.856375
2024 10 07 17:20:00,8.9475
2024 10 07 17:21:00,9.0435
2024 10 07 17:22:00,9.140625
2024 10 07 17:23:00,9.212625
2024 10 07 17:24:00,9.2985
2024 10 07 17:25:00,9.36375
2024 10 07 17:26:00,9.423375
2024 10 07 17:27:00,9.459375
2024 10 07 17:28:00,9.487875
2024 10 07 17:29:00,9.0885
2024 10 07 17:30:00,8.8335
2024 10 07 17:31:00,8.590875
2024 10 07 17:32:00,8.383125
2024 10 07 17:33:00,8.189625
2024 10 07 17:34:00,8.418375
2024 10 07 17:35:00,8.504625
2024 10 07 17:36:00,8.605875
2024 10 07 17:37:00,8.689875
2024 10 07 17:38:00,8.771625
2024 10 07 17:39:00,8.86275
2024 10 07 17:40:00,8.9535
2024 10 07 17:41:00,9.037125
2024 10 07 17:42:00,9.111375
2024 10 07 17:43:00,9.197625
2024 10 07 17:44:00,9.265875
2024 10 07 17:45:00,9.33525
2024 10 07 17:46:00,9.384375
2024 10 07 17:47:00,9.42525
2024 10 07 17:48:00,9.442125
2024 10 07 17:49:00,9.14175
2024 10 07 17:50:00,8.8965
2024 10 07 17:51:00,8.665125
2024 10 07 17:52:00,8.45475
2024 10 07 17:53:00,8.26125
2024 10 07 17:54:00,8.40225
2024 10 07 17:55:00,8.486625
2024 10 07 17:56:00,8.574
2024 10 07 17:57:00,8.664375
2024 10 07 17:58:00,8.75175
2024 10 07 17:59:00,8.843625
2024 10 07 18:00:00,8.9235
2024 10 07 18:01:00,9.0105
2024 10 07 18:02:00,9.08475
2024 10 07 18:03:00,9.172875
2024 10 07 18:04:00,9.24975
2024 10 07 18:05:00,9.3285
2024 10 07 18:06:00,9.38325
2024 10 07 18:07:00,9.42675
